,Costal,Blue,Green,Red,NIR,SWIR1,SWIR2,Longitude,Latitude,Target,Prediction
7,10049.0,9111.0,8296.0,7250.0,17677.0,10564.0,7300.0,-72.12009215295069,1.4171743093855564,coca,cana
92,24781.0,24598.0,25584.0,26007.0,31058.0,30979.0,26150.0,-75.9246603990289,1.5216456269739915,coca,cana
109,9416.0,8417.0,7763.0,6630.0,18515.0,10398.0,6785.0,-71.86284109013422,1.1330914182829432,coca,cana
238,10284.0,9386.0,8724.0,7961.0,15603.0,10934.0,7759.0,-72.51620226462624,1.4387868090535845,coca,cana
379,10059.0,9083.0,8520.0,7324.0,19746.0,11279.0,7408.0,-71.94441680699168,1.5711634742819696,coca,cana
507,10663.0,9784.0,9592.0,8543.0,19841.0,14251.0,8921.0,-72.72951661881856,1.9768058307388734,coca,cana
828,11174.0,10214.0,9385.0,8624.0,14927.0,15177.0,13049.0,-75.34178785217902,0.679621712047638,coca,cana
948,15762.0,15328.0,14621.0,14431.0,26747.0,22632.0,16910.0,-72.44677113824956,1.8984381674904816,coca,cana
967,10969.0,10138.0,9831.0,9983.0,15980.0,17594.0,12397.0,-75.31697181894346,1.7428875154316361,coca,cana
1043,28393.0,29303.0,29419.0,31082.0,38428.0,31278.0,24218.0,-71.51316134189908,2.196966798998543,coca,cana
1638,10222.0,9292.0,8556.0,7418.0,18803.0,11874.0,8188.0,-75.91571001740563,1.3940995556455689,coca,cana
1710,11932.0,11183.0,11177.0,11831.0,17667.0,22490.0,16642.0,-75.70037969662772,0.7525889881111845,coca,cana
1848,11276.0,10215.0,9274.0,8619.0,12003.0,14951.0,13915.0,-74.58732420745469,1.251615940245239,coca,cana
1910,10799.0,9788.0,8968.0,8419.0,10879.0,13152.0,11324.0,-75.90326007738106,1.2672323647203492,coca,cana
2124,27319.0,28062.0,28148.0,29930.0,35582.0,28895.0,21936.0,-71.52925643350159,2.1657137654540164,coca,cana
2235,10260.0,9364.0,9265.0,8448.0,18435.0,12033.0,8228.0,-72.09788297689886,1.4080656230941717,coca,cana
2367,10804.0,9946.0,9345.0,8503.0,19160.0,12853.0,8440.0,-72.40637398216344,2.1380625885496123,coca,cana
2504,10773.0,9887.0,9416.0,8816.0,18786.0,16351.0,11173.0,-75.31535229145194,1.7356953505638772,coca,cana
2593,12073.0,11085.0,10469.0,9962.0,17592.0,13051.0,10603.0,-75.24120322113505,1.9194537541589796,coca,cana
2631,10911.0,10131.0,9704.0,9641.0,16191.0,19617.0,13343.0,-72.35659601470539,1.8330958726603255,coca,cana
2695,10420.0,9630.0,9076.0,9064.0,15287.0,16874.0,11399.0,-71.91536400660573,1.4524127693015887,coca,cana
2794,10848.0,10017.0,9591.0,9026.0,16924.0,14482.0,9677.0,-72.48865634469365,2.089121394855422,coca,cana
2839,9780.0,8753.0,8433.0,6922.0,19935.0,10721.0,6907.0,-71.46354116529618,2.1696242570917246,coca,cana
2875,11708.0,10694.0,9857.0,9494.0,14303.0,16075.0,14044.0,-75.80113699629402,1.0337336898492828,coca,cana
2967,10000.0,9030.0,8232.0,7070.0,20081.0,10748.0,7155.0,-72.12667783757219,1.5323892236011984,coca,cana
3220,9466.0,8491.0,7850.0,6682.0,19467.0,11027.0,7136.0,-71.8741888353976,1.2187435890241525,coca,cana
3239,16933.0,16527.0,15972.0,15973.0,21987.0,21424.0,18526.0,-71.5411425924204,2.149350513456058,coca,cana
3441,11763.0,10836.0,10284.0,9664.0,17737.0,16908.0,13342.0,-75.25957178285945,0.9495501276333531,coca,cana
3452,9611.0,8584.0,7875.0,6965.0,13514.0,8990.0,6620.0,-71.81764458275615,1.4305965615155316,coca,cana
3796,9474.0,8436.0,7692.0,6555.0,21134.0,10799.0,6945.0,-71.90817860024643,1.162681798860376,coca,cana
3820,18744.0,18384.0,17292.0,17113.0,25421.0,21314.0,16627.0,-75.91980769628664,1.5244972289664023,coca,cana
3873,10156.0,9211.0,8410.0,7321.0,19950.0,10990.0,7339.0,-72.38695888167351,1.4881233870155346,coca,cana
3987,9485.0,8501.0,7737.0,6883.0,16081.0,10798.0,7257.0,-71.99154159056948,0.8429427199262429,coca,cana
4020,10420.0,9576.0,9575.0,8625.0,21966.0,16125.0,9949.0,-72.54375992291416,2.0984286838137036,coca,cana
4065,26081.0,26104.0,26138.0,26905.0,31829.0,29670.0,24843.0,-75.5235547624167,1.6622336716234205,coca,cana
4119,9335.0,8248.0,8714.0,6174.0,31582.0,14300.0,8030.0,-71.93533834334792,1.5165380994347262,coca,cana
4146,10172.0,9385.0,9183.0,8387.0,18594.0,12182.0,8006.0,-71.89694597858423,1.5281367573117928,coca,cana
4181,10577.0,9736.0,9293.0,8617.0,17418.0,14368.0,9682.0,-72.45297415628669,1.9850788291343753,coca,cana
4191,19478.0,19208.0,18071.0,18257.0,25435.0,21485.0,18373.0,-72.7420094925981,1.7999974783298762,coca,cana
4199,10867.0,9983.0,9450.0,9204.0,15165.0,14564.0,9999.0,-72.4934978012319,2.095365741301499,coca,cana
4226,11438.0,10364.0,8981.0,8580.0,7746.0,13692.0,14876.0,-75.05613256675728,1.1033180029777923,coca,cana
4297,29425.0,29585.0,32336.0,33868.0,36686.0,22777.0,13423.0,-71.51671546332736,2.231787344425455,coca,cana
4394,10586.0,9813.0,10115.0,9145.0,23971.0,15531.0,10043.0,-72.41695666368818,1.9233384149312733,coca,cana
4400,11049.0,10223.0,9510.0,9461.0,16974.0,16079.0,10886.0,-72.4386349473014,2.186245036003079,coca,cana
4417,9615.0,8639.0,8154.0,6945.0,21210.0,12542.0,7844.0,-71.96556379476306,1.1336082032021126,coca,cana
4442,10890.0,10042.0,9497.0,8953.0,18033.0,13897.0,9460.0,-72.48833514239712,2.1213881970072426,coca,cana
4484,12044.0,11318.0,10906.0,10940.0,12673.0,12709.0,10778.0,-75.33907354541601,1.654131840499491,coca,cana
4544,11570.0,10634.0,10189.0,9870.0,4675.0,2007.0,2749.0,-75.06948191934977,1.1695437449673196,coca,cana
4646,9923.0,8926.0,8326.0,7134.0,15531.0,9254.0,6457.0,-72.47769612959682,1.4185433509103156,coca,cana
4664,13762.0,13098.0,12692.0,12614.0,20349.0,17674.0,14710.0,-75.56558301485377,0.8106894768046015,coca,cana
5062,9558.0,8666.0,8670.0,8041.0,21392.0,14560.0,8981.0,-72.3871773252233,2.1740904245666517,coca,cana
5317,9735.0,8747.0,8078.0,7614.0,11396.0,10857.0,8125.0,-71.90347482201395,1.2732525952619524,coca,cana
5320,12217.0,11344.0,10880.0,11291.0,10023.0,6507.0,5914.0,-75.46107413905139,0.44904868534013787,coca,cana
5422,11491.0,10446.0,9486.0,8930.0,11663.0,14743.0,13833.0,-75.19175577488548,0.9072135053837678,coca,cana
5469,10957.0,10164.0,9662.0,9293.0,17868.0,14727.0,9880.0,-72.47631794330759,2.135739541451457,coca,cana
5549,10096.0,9147.0,8397.0,7211.0,20559.0,11336.0,7453.0,-72.14774691988866,1.487147305782927,coca,cana
5658,9990.0,9119.0,8853.0,8405.0,15049.0,15305.0,10054.0,-72.07490390506106,1.3683260845984877,coca,cana
5876,18026.0,17479.0,17888.0,17825.0,31657.0,27660.0,19215.0,-72.77112624847162,1.793524481486785,coca,cana
5943,11400.0,10527.0,10565.0,9477.0,9068.0,8060.0,7120.0,-71.75351765998242,1.1459771241731889,coca,cana
6036,9613.0,8628.0,8029.0,6922.0,21332.0,10556.0,7025.0,-71.92223013665321,1.4530997577063554,coca,cana
6359,10391.0,9541.0,8978.0,8726.0,15921.0,15254.0,10407.0,-75.87865733321873,1.4573466161327104,coca,cana
