Costal,Blue,Green,Red,NIR,SWIR1,SWIR2,Longitude,Latitude,Target,Prediction
11468.0,10342.0,9507.0,8199.0,20353.0,12591.0,8179.0,-75.46222125837912,1.0882191717210514,coca,coca
10564.0,9567.0,8879.0,7661.0,18215.0,11251.0,7528.0,-72.40675090683362,2.0731259996609324,coca,coca
12433.0,11394.0,10160.0,9486.0,13225.0,13292.0,11238.0,-76.2002613051943,0.4374313627619199,coca,coca
11788.0,10691.0,9704.0,8419.0,19182.0,11840.0,7916.0,-76.0280045656527,0.36839209723659055,coca,coca
10600.0,9577.0,8662.0,7811.0,17761.0,13312.0,8913.0,-75.89053353148563,1.4858373110811534,coca,coca
11246.0,10096.0,9376.0,7896.0,20893.0,12579.0,7934.0,-75.18503391198755,1.2254503324305035,coca,coca
9642.0,8534.0,7802.0,6675.0,17192.0,11507.0,7143.0,-71.52378203590614,2.1453825662109747,coca,coca
10472.0,9547.0,8863.0,7982.0,14645.0,11788.0,8481.0,-75.30981997282896,1.7169687769666087,coca,coca
10889.0,9905.0,9215.0,8211.0,17004.0,10783.0,7806.0,-71.81874919089502,2.2500910883683964,coca,coca
10490.0,9449.0,8411.0,7409.0,15639.0,10132.0,7067.0,-72.27412937842986,2.1696871235918116,coca,coca
11317.0,10264.0,9632.0,8228.0,20942.0,12882.0,8209.0,-75.23046374239453,1.1254299704881392,coca,coca
9743.0,8679.0,7787.0,6788.0,17178.0,10892.0,7168.0,-72.15044452277377,2.0186023942958524,coca,coca
11213.0,10098.0,9242.0,8059.0,18992.0,12735.0,8287.0,-75.25756217251855,1.1075142581582302,coca,coca
13641.0,12731.0,11557.0,10776.0,19730.0,14753.0,10232.0,-75.28987803042014,1.8279799682706979,coca,coca
9544.0,8502.0,7858.0,6630.0,21692.0,12017.0,7180.0,-71.77979671777756,1.4423312973472322,coca,coca
9694.0,8599.0,7814.0,6672.0,18144.0,10609.0,6957.0,-72.13838439797128,2.0584292609304247,coca,coca
11359.0,10289.0,9799.0,8389.0,20162.0,11833.0,7656.0,-75.23045992990998,1.0757608068504116,coca,coca
10213.0,9178.0,8279.0,7311.0,15119.0,9805.0,6955.0,-72.00066133095581,0.8875366516030105,coca,coca
11147.0,10133.0,9459.0,8425.0,17621.0,13434.0,8806.0,-75.35015080920832,0.7439462007575967,coca,coca
11185.0,10106.0,9581.0,8279.0,20931.0,14827.0,9001.0,-75.2373260411694,0.9389664999959799,coca,coca
11194.0,10110.0,9565.0,8083.0,22328.0,13103.0,8274.0,-75.26213870985164,1.0184895328175965,coca,coca
11871.0,10686.0,9538.0,8402.0,17488.0,11050.0,7494.0,-75.90807583594811,0.5922977593572383,coca,coca
11676.0,10560.0,9461.0,8361.0,16579.0,9612.0,6909.0,-75.4881696274635,0.4573248987823228,coca,coca
11442.0,10447.0,9797.0,8809.0,18590.0,15555.0,10094.0,-75.18614533358394,1.632574651138051,coca,coca
9816.0,8739.0,8096.0,7019.0,15951.0,10518.0,7134.0,-71.43487513392968,2.2214315941653227,coca,coca
10216.0,9242.0,8273.0,7315.0,18068.0,10958.0,7389.0,-72.4634151133919,1.8492492222640438,coca,coca
10331.0,9308.0,8497.0,7459.0,16518.0,10149.0,6913.0,-71.79124444840048,1.4393666964466063,coca,coca
11266.0,10188.0,9575.0,8178.0,20628.0,12261.0,7939.0,-75.26659098078777,1.0564873438509004,coca,coca
10546.0,9448.0,8810.0,7718.0,20269.0,11904.0,7224.0,-71.52779976700187,2.2135269564640616,coca,coca
11359.0,10325.0,10007.0,8588.0,22463.0,16437.0,10245.0,-75.2571641981062,1.1805250823242515,coca,coca
9766.0,8661.0,8018.0,6754.0,20232.0,12271.0,7585.0,-72.41750788377766,1.725949556675877,coca,coca
11023.0,9933.0,9124.0,7909.0,20464.0,12976.0,8227.0,-75.28563274027526,1.3608773382716912,coca,coca
11401.0,10340.0,9326.0,8780.0,12811.0,14017.0,12025.0,-75.30797859749659,1.027442133994881,coca,coca
9582.0,8500.0,7580.0,6612.0,16491.0,10686.0,6981.0,-72.23858779313454,1.3176900469907429,coca,coca
11915.0,10865.0,10239.0,8997.0,20637.0,15909.0,10015.0,-75.08434779029892,2.0212497320075604,coca,coca
11335.0,10294.0,9715.0,8695.0,18522.0,14977.0,9796.0,-75.30906373260058,1.0936671675618357,coca,coca
9489.0,8367.0,7716.0,6525.0,18807.0,10779.0,6953.0,-71.5024663643503,1.3739207526245507,coca,coca
9961.0,8843.0,8063.0,6980.0,19651.0,12760.0,7814.0,-72.4254916209901,1.8921701579265715,coca,coca
10204.0,9149.0,8209.0,7262.0,15239.0,9401.0,6766.0,-72.06589266379655,1.2426786189084362,coca,coca
9616.0,8525.0,7871.0,6692.0,18219.0,11022.0,7157.0,-72.29531836357518,1.4119647803349826,coca,coca
12138.0,10996.0,9789.0,8628.0,17192.0,10691.0,7492.0,-75.26698108975214,0.8721960690316038,coca,coca
9914.0,8811.0,8011.0,6846.0,19363.0,11552.0,7459.0,-72.49777006525447,1.9455588496887064,coca,coca
11691.0,10574.0,9546.0,8302.0,18915.0,11898.0,7888.0,-75.26695181301591,1.8368044881752175,coca,coca
9860.0,8800.0,8071.0,6916.0,19074.0,11293.0,7021.0,-71.53604763328876,2.1397213046017054,coca,coca
9795.0,8724.0,8005.0,6985.0,16721.0,11713.0,7619.0,-72.04570862820141,1.9025386962323858,coca,coca
10437.0,9344.0,8785.0,7539.0,20867.0,11804.0,7380.0,-71.53359611343646,2.210831441301463,coca,coca
11269.0,10167.0,8927.0,8365.0,10183.0,11073.0,9718.0,-74.47287659026537,1.1369259854102396,coca,coca
12627.0,11535.0,10304.0,9298.0,17264.0,11810.0,8421.0,-75.47216120468002,0.8180295857589415,coca,coca
9793.0,8719.0,7901.0,6747.0,18710.0,11222.0,7254.0,-72.29662711383222,2.0151936319060058,coca,coca
10444.0,9349.0,8480.0,7438.0,18312.0,11348.0,7397.0,-72.17036580265108,2.0283964256577303,coca,coca
10900.0,9815.0,8935.0,7675.0,18720.0,11951.0,7848.0,-75.32370498463075,1.6839898245778688,coca,coca
11979.0,10972.0,10276.0,8962.0,21839.0,14775.0,9537.0,-76.2068690025021,0.4600887418326151,coca,coca
9487.0,8407.0,7676.0,6567.0,18925.0,11518.0,7257.0,-71.96054896506887,1.165042876192707,coca,coca
